NOMEASSOCIAZIONE,INDIRIZZO,CAP,CITTA,PROV,ANNO COSTITUZIONE,ATTIVITA
G.P. ATLETICA MOLINELLA, VIA MAZZINI 2,40062,MOLINELLA,(BO),2002,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
PALLACANESTRO MOLINELLA A.S.D., VIA MAZZINI 16,40062,MOLINELLA,(BO),2017,SVILUPPO E DIFFUSIONE DI ATTIVITA SPORTIVA DILETTANTISTICA CONNESSA ALLA PRATICA DELLA PALLACANESTRO.
PRO RACE TEAM, VIA ANNA FRANK 21,40062,MOLINELLA,(BO),2003,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE SPORT CULTURA E TURISMO
SLAM DUNK ASD,VIA CANALE BOTTE 53,40062,SAN PIETRO CAPOFIUME,(BO),2011,SPORT CULTURA E TURISMO
SOC. CICLISTICA MAC TEAM, VIA SEVERINO FERRARI 99,40062,MOLINELLA,(BO),1987,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
SOC. SPORTIVA DILETTANTISTICA SUB NETTUNO MOLINELLA, VIA ANDREA COSTA 6,40062,MOLINELLA,(BO),1972,TUTELA E VALORIZAZIONE DEL PATRIMONIO AMBIENTALE - EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE
SOC. SPORTIVA DILETTANTISTICA PESCATORI MOLINELLA, VIA MAZZINI 2,40062,MOLINELLA,(BO),1957,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE - EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE
ASD  TIRO AL VOLO MOLINELLA CASTELLANI, VIA VALLE 5,40062,MOLINELLA,(BO),2000,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
STELLA NERA A.F.C., VIA DE AMICIS 4,40062,MOLINELLA,(BO),2012,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
STEP EVOLUTION,VIA OLOF PALME 21,40062,MOLINELLA,(BO),2009,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE
TAEKWONDO MOLINELLA,VIA BENTIVOGLI 14,40062,MOLINELLA,(BO),2002,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
TRAGHETTO-MOLINELLA ASD, VIA ALDO MORO 13,40062,MOLINELLA,(BO),2014,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
US RENO MOLINELLA 1911 ASD, VIA BENTIVOGLI1,40062,MOLINELLA,(BO),1911 -1994,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
VILLAGE TENNIS CLUB ASD, VIA ANDREA COSTA 2,40062,MOLINELLA,(BO),1995,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
ASSOCIAZIONE CULTURALE ISLAMICA AL AMAL, VIA TURATI 23,40062,MOLINELLA,(BO),2015,ATTIVITA EDUCATIVE - SPORT CULTURA E TURISMO
ANIMAL BLUE HOUSE,VIA SELVA 71,40062,SELVA MALVEZZI,(BO),1995,ATTIVITA CULTURALI E DI TUTELA E  VALORIZZAZIONE PATRIMONIO AMBIENTALE - SPORT CULTURA E TURISMO
ASSOCIAZIONE AMICI DEL TAROCCHINO BOLOGNESE CIRCOLO R. BIANCHI, VIA PROVINCIALE SUPERIORE 218,40062,MOLINELLA,(BO),2018,PROMOZIONE DELLA CONOSCENZA E DELLA PRATICA DEL GIOCO DELLE CARTE IN PARTICOLARE DEL TAROCCHINO BOLOGNESE
ASSOCIAZIONE CULTURALE L AQUILA SIGNORINA, VIA PROVINCIALE SUPERIORE 20,40062,MOLINELLA,(BO),1995,ATTIVITA EDUCATIVE - ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE
ASSOCIAZIONE CULTURALE ISLAMICA BADR, VIA TURATI 36,40062,MOLINELLA,(BO),2002,TUTELA E PROMOZIONE DEI DIRITTI - ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE DEL PATRIMONIO AMBIENTALE
ASSOCIAZIONE DILETTANTISTICA LUDOFFICINA, VIA DON MINZONI 52,40062,MOLINELLA,(BO),2008,FINALITA SPORTIVE DILETTANTISTICHE E CULTURALI
MOLINELLA OCARINA GROUP MOG, VIA MAZZINI 393,40062,MOLINELLA,(BO),2016,PROMOZIONE E DIFFUSIONE DELL OCARINA E DELLA CULTURA MUSICALE IN OGNI SUA FORMA
ASSOCIAZIONE IL MANTELLO,VIA SANT ELENA 16,40062,SAN MARTINO IN ARGINE,(BO),2002,ATTIVITA EDUCATIVE - ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE DEL PATRIMONIO AMBIENTALE
ASSOCIAZIONE RIFUGIO DI BAGNAROLA ODV,VIA FONDAZZA 7/A,40062,BUDRIO,(BO),1990,GESTIONE CANILE INTERCOMUNALE ATTIVITA CULTURALI E  DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE
CIRCOLO AMICI DELL ARTE, VIA MAZZINI 131,40062,MOLINELLA,(BO),1966,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE DEL PATRIMONIO AMBIENTALE - SPORT CULTURA E TURISMO
CIRCOLO ARCI MOLINELLA, VIA DEL LAVORO 27,40062,MOLINELLA,(BO),1964,SPORT CULTURA E TURISMO
CIRCOLO LA TORRETTA, VIA MAZZINI 2,40062,MOLINELLA,(BO),2003,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE - SPORT CULTURA E TURISMO
CIRCOLO CULTURALE GIOVANIDEE, STRADELLO GUARDA 2-4,40062,MOLINELLA,(BO),2009,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE DEL PATRIMONIO AMBIENTALE - SPORT CULTURA E TURISMO
COMITATO FESTA DI ALBERINO, VIA CANALE BOTTE 41,40062,MOLINELLA,(BO),2015,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE - SPORT CULTURA E TURISMO
COMITATO FESTEGGIAMENTI S.PIETRO CAPOFIUME ALBERINO,VIA SEVERINO FERRARI 124/126,40062,SAN PIETRO CAPOFIUME,(BO),2001,PROTEZIONE CIVILE - SPORT CULTURA E TURISMO
CORO DA CONTAVALLI, VIA MANIN 19,40062,MOLINELLA,(BO),2015,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE
GRUPPO AMICI DEI MONUMENTI,VIA MAZZINI 133,40062,MOLINELLA,(BO),2000,TUTELA E VALORIZAZIONE DEL PATRIMONIO AMBIENTALE - ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE
GRUPPO BANDISTICO MOLINELLESE, VIA MAZZINI 2,40062,MOLINELLA,(BO),1997,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE
LABORATORIO D ARTE, VIA MAZZINI 2,40062,MOLINELLA,(BO),2003,ATTIVITA EDUCATIVE E  ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE DEL PATROMONIO AMBIENTALE
LA COMPAGNIA DEL CAFFE, VIA BENTIVOGLI 5,40062,MOLINELLA,(BO),2000,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE - SPORT CULTURA E TURISMO
LA COMPAGNIA DELLO SCATTO, VIA ZARRI 25,40062,MOLINELLA,(BO),2014,ATTIVITA EDUCATIVE - SPORT CULTURA E TURISMO
NATIONAL LAMPOON, VIA MAZZINI 75,40062,MOLINELLA,(BO),2010,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE DEL PATROMONIO AMBIENTALE - EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE
PRO LOCO MOLINELLA, PIAZZA MARTONI 20,40062,MOLINELLA,(BO),2002,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE DEL PATROMONIO AMBIENTALE - SPORT CULTURA E TURISMO
F.I.D.A.S. BOLOGNA ODV, VIA DANIELE MANIN 11,40062,MOLINELLA,(BO),1956,SANITARIO - SOCIO/ ASSISTENZIALI
A.N.C. NUCLEO VOLONTARI PIANURA FELSINEA, VIA VALERIANI 25,40062,MOLINELLA,(BO),2000,TUTELA E VALORIZAZIONE DEL PATRIMONIO AMBIENTALE - PROTEZIONE CIVILE
ANT ITALIA ONLUS DELEGAZIONE MOLINELLA, PIAZZA MARTONI 20,40062,MOLINELLA,(BO),2011,SANITARIO - SOCIO/ ASSISTENZIALI
ANTEAS GIUSEPPE FANIN, VIA MARCONI  69,40062,MOLINELLA,(BO),2008,FINALITA SOLIDARISTICHE CULTURALI SOCIALI
A.S.D. SERENDIPITY,VIA LUIGI PIRANDELLO 3/2,40062,MOLINELLA,(BO),2016,PROMUOVERE ATTIVITACULTURALI LUDICHE E DI ARRICCHIMENTO UMANO COME MOMENTO DI INCONTRO E INTERAZIONE FRA PERSONE
ASSOCIAZIONE DI VOLONTARIATO LA GIURA,VIA FIUME VECCHIO 137,40062,MARMORTA,(BO),2002,ATTIVITA EDUCATIVE - ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE
